time,cumm_vehicles_left,cumm_vehicles_right,density_left,density_right,vehicles_left,vehicles_right
0.0,0,0,0.24569483519155288,0.20112136415218296,0,0
0.04,0,0,0.24749400854433679,0.1514961476437915,0,0
0.08,0,0,0.25280816921954774,0.0809144119930717,0,0
0.12,0,0,0.2547254350317808,0.08120557845069576,0,0
0.16,0,0,0.2561842242367407,0.08698411276354301,0,0
0.2,0,0,0.251905109235525,0.09188914770351786,0,0
0.24,0,0,0.24987669757910458,0.09922803559696591,0,0
0.28,0,0,0.24785523253794584,0.10665651316968283,0,0
0.32,0,0,0.2421867944843875,0.11360717911963214,0,0
0.36,1,0,0.23167656559341465,0.12287971092396821,1,0
0.4,1,0,0.22132610885346116,0.13294361822851342,0,0
0.44,1,0,0.21672744955020662,0.14417219136355497,1,0
0.48,2,0,0.20428606161647733,0.15785701487188675,1,0
0.52,2,1,0.1972144072800528,0.1689288060682076,1,1
0.56,2,1,0.19067764231878015,0.18032909275518128,1,0
0.6,2,1,0.18659997916015425,0.1956414621035657,1,1
0.64,2,1,0.17864610468549202,0.2042495371199905,1,0
0.68,2,1,0.1728317877114376,0.2011960222182405,1,1
0.72,2,2,0.16289812788718694,0.18450247864779312,1,1
0.76,2,2,0.16426661109374452,0.19219225945171114,1,1
0.8,2,2,0.18043138480775245,0.1774398255987577,1,1
0.84,2,2,0.18869785696919172,0.13804276414023775,1,1
0.88,2,2,0.19665173144385395,0.10825419578331241,1,1
0.92,2,2,0.2152339272689382,0.10305052857910768,1,1
0.96,2,3,0.22652217706922306,0.1102177029206235,1,2
1.0,2,3,0.22170122607759368,0.12497760258018276,1,1
1.04,2,3,0.2157132437219964,0.1369303589559816,1,2
1.08,2,3,0.21651905109235525,0.10908290031655021,1,1
1.12,2,3,0.2116911534854642,0.08307949590873798,1,2
1.16,2,3,0.2029939911777986,0.07487457444902346,1,1
1.2,2,3,0.21250390747108472,0.0758824583407991,1,2
1.24,2,3,0.22070091347990695,0.07587499253419339,1,1
1.28,2,3,0.22317390851307706,0.07761452547333214,1,2
1.32,2,3,0.22352818589142442,0.08033207907782358,1,1
1.36,2,3,0.22273627175158905,0.08535656692349036,1,2
1.4000000000000001,3,3,0.22880066687506517,0.09203846383563286,2,1
1.44,3,3,0.21826265152304536,0.09860090784208331,1,2
1.48,3,3,0.21371261852662293,0.10618616735352082,2,1
1.52,3,3,0.2116425271786322,0.11630233530430623,1,2
1.56,3,4,0.2053766802125664,0.12532102968404701,2,2
1.6,3,4,0.20040985030044112,0.13193573433673778,1,2
1.6400000000000001,3,4,0.19723524712583795,0.14207429970734042,2,2
1.68,3,4,0.19451912055850784,0.15208594636564532,1,2
1.72,3,4,0.188281060053489,0.15239951024308662,2,2
1.76,3,4,0.18959397033795278,0.13856537060263996,1,2
1.8,3,4,0.19337987565558679,0.12464164128292421,2,2
1.84,3,4,0.19631829391129174,0.13264498596428353,1,2
1.8800000000000001,3,4,0.20222986349901007,0.1460087797885684,2,2
1.92,3,4,0.21088534611510545,0.1554007644985964,1,2
1.96,3,4,0.22556354416310653,0.17626022815504983,2,2
2.0,3,5,0.24290229585634404,0.1939243265842442,1,3
2.04,3,5,0.26927164738980935,0.2048244042286329,2,2
2.08,3,6,0.28815949428640897,0.19122917039957,1,4
2.12,3,6,0.29269563405230803,0.1473078301379681,2,2
2.16,3,6,0.30394915077628426,0.14752433852953473,1,4
2.2,3,6,0.298301552568511,0.15466164964462759,2,2
2.24,3,6,0.2915424959188635,0.15991757749507252,1,4
2.2800000000000002,3,6,0.29612726199159456,0.1516006689362719,2,2
2.32,4,6,0.3061234413532007,0.11937824762587346,2,4
2.36,4,6,0.3135354798374492,0.11521979334647314,2,2
2.4,4,6,0.31309089646069954,0.12067729797527327,2,4
2.44,4,6,0.30492167691292416,0.13181628143104585,2,2
2.48,4,6,0.2945087006356153,0.13795317446096877,2,4
2.52,4,7,0.2940710638741273,0.1485546198411276,2,3
2.56,4,7,0.28150463686568716,0.17102669772442214,2,4
2.6,4,7,0.2723142648744399,0.18489070059129187,2,3
2.64,4,8,0.26718071619603345,0.15590097354118138,2,5
2.68,4,8,0.2572540029870446,0.1359896673236577,2,3
2.72,5,8,0.24542391719634604,0.12093860120647437,3,5
2.7600000000000002,5,8,0.25027265464902226,0.12190169025861552,2,3
2.8000000000000003,5,8,0.2600743287833004,0.1188257779370483,3,5
